"match_id","leagueid","region","duration","first_blood_time","dire_score","radiant_score","radiant_team_id","dire_team_id","radiant_win","exp_15min","teamfight_duration","Tteamfight_deaths","teamfight_frequency","Strength_picked_r","Strength_banned_r","Strength_picked_d","Strength_banned_d","Intelligence_picked_r","Intelligence_banned_r","Intelligence_picked_d","Intelligence_banned_d","Universal_picked_r","Universal_banned_r","Universal_picked_d","Universal_banned_d"
7825243165,16312,3,1300,197,18,36,9330493,9330489,"True",-2576,218,21,5,1,3,2,1,1,2,2,3,1,1,0,1
7958946164,16059,3,1894,46,27,34,8629318,8629014,"True",-3329,450,39,10,1,0,1,1,1,0,0,3,2,4,3,1
7668121214,16059,8,1849,22,40,34,8629317,8629327,"False",1408,369,29,8,1,1,2,0,3,0,0,0,0,3,3,7
7780248827,16312,3,1814,370,29,38,8893837,9330485,"True",-6386,428,39,9,3,2,1,2,1,2,1,2,1,1,1,1
8093819585,17163,3,1401,581,12,24,8987220,8850016,"True",-400,184,19,4,0,0,2,2,2,2,2,0,1,3,0,5
7977620715,15901,3,1123,152,5,41,9563304,9467055,"True",9799,301,30,7,3,2,0,2,1,1,0,2,1,1,5,2
7768270638,16740,5,2525,142,23,21,8214850,8668460,"True",687,226,19,5,1,2,1,5,1,2,2,0,1,2,1,1
7637280679,16407,38,1860,174,8,27,9352634,8971308,"True",2217,140,9,3,3,2,2,1,1,3,2,1,0,1,1,4
8087769836,17233,3,1466,56,22,32,8629005,2443375,"True",3650,376,32,8,3,0,0,2,1,0,3,1,1,7,1,3
7687957356,16109,3,1948,163,32,21,8849833,9005364,"False",-6255,252,23,5,1,0,1,0,1,0,2,0,1,3,1,5
7525644977,16011,5,2256,200,25,27,8736661,7653080,"True",128,254,20,5,2,1,1,3,0,3,2,1,2,2,1,1
7960350376,15901,8,2483,47,36,24,8831040,9395676,"False",-2602,304,36,7,1,2,1,1,1,0,1,2,2,3,1,2
7654859544,15901,3,1902,193,43,32,9209880,9381131,"False",-3965,592,51,13,2,3,2,1,0,2,1,2,3,2,2,3
7660762138,16343,3,1892,142,15,28,8406842,2576071,"True",-342,310,24,7,2,2,0,3,2,2,3,0,0,0,1,2
7997964642,15901,3,1911,85,55,24,9383024,9578921,"False",-7700,408,37,9,1,2,2,2,0,2,2,2,2,2,0,3
7700393154,16059,3,1637,104,26,14,2443375,8629005,"False",-1239,144,13,3,2,1,2,0,1,1,1,0,2,5,0,7
7565442940,15819,3,1622,206,15,32,8961813,8893825,"True",1976,181,15,4,2,2,4,3,1,3,0,3,1,2,1,1
7974655480,16251,8,2143,352,15,28,9119949,9556883,"True",6145,209,23,5,1,3,2,4,3,0,1,0,1,3,1,1
7952474354,16059,3,1501,149,22,28,8629324,8629014,"True",1613,229,23,5,1,0,2,0,1,0,0,0,1,4,1,4
7775840106,15901,8,2189,214,34,36,9443831,9433231,"True",-4101,358,32,7,2,2,0,2,0,2,1,1,2,1,3,3
7610207662,15819,3,1916,259,46,32,8864178,8893837,"False",3222,581,43,12,1,3,1,2,2,2,2,3,0,2,1,0
8052354600,17381,3,2006,178,39,14,9600141,7422789,"False",-2692,365,32,8,2,2,1,3,0,1,2,0,2,2,1,2
7841916085,16707,3,2221,52,31,20,9466943,8376696,"False",374,120,10,3,0,2,0,1,1,0,1,2,1,3,4,1
7914596815,17030,5,2315,36,22,34,9504805,9504815,"True",-3450,449,46,9,2,1,1,0,1,2,2,5,2,0,1,1
7851656658,16312,3,1214,179,10,33,8893840,8961813,"True",3167,249,22,6,1,2,2,4,0,4,2,0,4,0,0,2
7680883955,15901,8,2504,13,41,47,9381131,9088071,"True",4737,470,51,10,0,0,2,1,3,1,1,2,1,3,0,3
7822334314,16869,3,2088,167,14,42,9403748,9368468,"True",1179,180,19,4,2,1,2,1,1,0,1,2,0,4,0,3
7606692633,15901,8,2271,82,48,30,9088071,8829924,"False",-1697,477,40,10,1,1,1,3,1,2,1,3,2,3,1,0
7830142306,15901,3,1127,7,8,35,9360721,9443631,"True",9842,164,15,4,2,2,1,3,1,0,2,1,1,0,1,3
7565418376,15901,8,2760,8,36,46,8829924,9175367,"True",-3701,530,45,12,2,0,1,1,2,0,3,2,0,3,1,2
7703373760,16109,3,2093,311,25,35,8849837,8849817,"True",-3016,300,23,7,1,0,3,0,2,1,1,0,0,6,1,4
7650182858,16390,2,2903,115,37,34,8728920,39,"False",2108,622,61,12,1,1,3,4,2,4,0,0,1,0,1,1
7884659450,16635,3,2035,85,41,29,8957156,8849850,"False",177,427,33,9,4,0,1,0,1,1,0,3,0,3,3,1
8086782482,17524,3,2688,119,32,35,9600141,7554697,"True",-1729,366,33,8,0,2,2,4,0,1,1,1,4,2,0,1
7855185083,15901,8,2170,11,39,39,9443831,9482816,"True",599,558,49,12,0,2,0,0,2,1,0,1,2,0,4,3
8023073081,16313,3,2126,102,35,29,9330492,8936507,"False",-2434,448,36,10,2,2,2,2,0,3,1,2,2,1,1,2
7662683031,15889,2,2250,126,50,18,9032329,2784119,"False",-4334,432,42,9,2,4,2,2,0,2,1,1,2,1,1,2
7533516382,16053,5,2805,6,21,9,8169775,9303570,"",-750,58,6,1,1,2,1,2,2,3,0,1,1,1,3,3
7821326729,16427,3,3590,153,39,36,9255039,7119388,"False",-3240,275,24,7,2,1,1,0,0,0,2,3,1,3,0,3
7920892781,17056,3,1541,105,6,15,9498970,9255039,"True",-1754,89,6,2,2,1,2,2,0,3,1,1,2,1,2,2
7522953685,15901,8,2431,133,37,49,8831040,9229377,"True",1797,762,72,16,2,2,0,3,1,3,2,2,1,2,3,2
8106019580,17163,3,1795,455,31,16,8970060,8879077,"False",-2399,264,26,6,1,0,1,0,3,1,1,0,1,3,2,6
7821107869,16869,3,1896,275,12,35,9280056,9368468,"True",6846,195,20,4,2,1,1,2,0,0,0,1,2,4,2,3
7557709810,16109,3,1615,71,25,12,8850016,8879077,"False",-3978,159,15,3,1,0,1,0,1,0,1,0,2,4,2,5
7640838434,16109,3,1972,76,36,33,8850100,8849850,"False",931,457,39,10,3,0,1,0,1,0,1,2,1,6,1,2
7899024371,16059,3,1647,322,13,23,2443375,9425656,"True",-506,204,19,4,1,0,1,0,2,0,3,0,0,7,0,7
8084385668,17366,8,1673,226,51,23,9492830,8831040,"False",-7879,404,39,8,2,2,0,0,1,1,2,1,1,1,3,2
7581788819,15901,8,2540,24,54,56,9088071,9209880,"True",-1341,641,64,12,1,3,1,0,1,2,2,5,1,2,1,1
7794771885,16059,3,1681,495,17,21,2443375,8629005,"True",-5646,239,26,5,2,2,2,0,1,2,1,4,0,2,0,3
8025853884,17163,3,1852,233,10,31,8849837,8849817,"True",1864,177,16,4,1,0,1,3,1,0,2,1,1,5,0,0
8103070955,17233,3,1884,100,41,26,9425660,2443375,"False",-2490,346,33,7,1,0,1,0,1,0,2,0,2,6,1,7
7805204854,16635,3,1894,374,16,31,8849850,8849837,"True",-979,334,38,7,2,0,1,0,2,0,3,0,0,3,1,5
7761483230,15899,15,1807,50,10,26,8375259,9302841,"True",9020,120,11,3,1,4,1,1,2,1,2,1,2,1,0,2
7839314620,16059,3,2052,70,40,42,8629324,8629005,"True",-200,539,50,11,2,0,1,0,0,4,2,0,2,3,1,6
7653661033,16109,3,2213,54,40,31,9005364,8849990,"False",-2263,503,40,12,1,1,1,0,2,0,1,2,2,5,1,2
7564619068,16172,5,1331,53,50,6,9247003,9302708,"False",-12457,342,30,8,0,3,1,1,1,0,1,3,2,3,2,1
7739936108,16337,5,1659,7,23,35,9104592,3846296,"True",4999,489,46,11,1,1,1,2,1,2,0,1,1,1,3,2
8036606934,17233,3,1467,212,17,38,8629318,8629324,"True",612,282,29,7,1,2,1,0,3,0,1,0,0,4,1,6
7946599242,16312,3,1902,326,23,26,9332069,8893840,"True",1498,308,27,7,1,3,1,1,1,1,1,5,2,2,2,0
7586010095,16059,3,1313,115,18,33,8629318,8629324,"True",7926,218,18,5,1,0,1,1,1,0,2,1,2,4,1,1
8044208281,17425,3,2167,72,30,19,9303383,9600141,"False",-538,227,18,5,1,1,1,3,1,1,1,1,1,3,1,2
7776620407,16312,3,1503,41,28,36,8961813,8893837,"True",-3491,397,36,9,1,4,2,4,2,1,1,1,1,2,0,0
8020392885,17233,3,2036,94,23,42,9426115,8629318,"True",-4672,338,27,7,1,0,3,2,1,0,1,3,1,7,1,2
7594958745,16109,3,2051,206,41,43,8849850,8849990,"False",7402,561,55,11,3,0,1,2,0,0,3,1,0,5,0,2
7723713607,16059,3,1634,113,16,27,8629014,8629317,"True",-1837,121,10,3,2,0,1,2,1,0,2,2,1,7,1,3
7597391314,16059,3,2300,234,41,32,8629014,8629318,"False",1773,506,42,10,1,1,1,2,1,1,0,0,1,3,2,5
8078185184,17366,3,2596,3,45,33,8957652,9492830,"False",-3728,407,37,9,2,1,1,2,1,0,1,2,1,3,2,1
7792380144,16059,3,1481,159,28,18,8629324,2443375,"False",3171,251,24,5,3,2,0,2,0,0,3,1,1,3,1,0
8013613332,17233,3,2023,56,38,50,8629324,8629014,"True",2931,650,61,15,2,0,1,0,0,0,2,0,2,7,1,5
7934186849,15901,8,2263,72,28,39,9505605,9467580,"True",3266,325,30,7,1,4,3,1,2,1,0,1,1,1,0,3
8080792538,17509,5,2255,115,30,18,9572001,8255888,"False",2186,255,23,5,1,0,2,5,2,1,0,0,1,3,2,1
7894907712,15898,3,3094,9,24,30,9366989,9271759,"True",2243,87,7,2,1,0,0,2,0,3,2,2,4,3,2,0
7878324725,16901,25,1835,119,14,23,7554697,5,"True",2759,150,12,3,1,1,0,1,1,1,1,2,2,2,3,1
7977518413,17119,3,2484,201,28,15,9338413,8728920,"False",-2049,248,23,5,1,4,1,0,1,1,0,3,2,0,2,3
7958485435,16635,3,2322,138,50,39,8957156,8987220,"False",1914,511,45,11,2,0,2,0,1,0,2,0,0,7,0,7
7620221157,16059,3,2680,335,45,41,8629005,8629317,"True",-3111,498,50,11,3,1,1,1,0,1,2,0,1,2,1,6
7634670332,16059,3,1621,206,26,15,8629005,8629317,"False",6163,124,11,3,3,0,0,0,1,0,0,0,0,4,2,4
8033537542,16313,3,1474,124,30,12,8936507,9332046,"False",-2341,211,23,5,2,2,2,2,2,2,1,2,0,2,1,1
7648961110,16390,13,1374,10,10,24,8574561,9315393,"True",6019,38,4,1,1,2,2,2,1,1,1,2,2,1,2,2
7632222326,16405,3,2323,113,5,26,9303076,9280056,"True",1257,81,8,2,2,0,1,3,0,4,0,2,1,3,2,1
7712860155,16312,3,1400,304,11,41,9330493,9332046,"True",6411,322,32,7,2,3,3,3,1,2,1,3,1,2,0,0
7725215969,16059,3,1899,250,43,24,8629317,8629318,"False",-6049,305,27,7,1,0,3,1,2,0,1,1,1,7,1,5
7559655750,15819,3,1444,165,38,17,8893825,8893837,"False",1667,316,29,6,2,1,2,2,1,3,2,2,1,2,0,1
8033456313,16313,3,1238,148,8,23,9330485,8961813,"True",7453,85,8,2,2,2,1,2,2,4,2,1,0,0,1,3
7788523880,16059,3,1801,55,30,37,8629005,2443375,"True",-1077,238,22,5,1,1,1,0,1,2,2,0,0,3,1,7
7535896782,15901,3,2481,109,24,42,9229377,8831040,"",-974,330,33,7,0,2,2,4,2,1,2,1,2,3,1,2
7791974587,15898,3,2096,48,20,25,9403748,9323607,"True",1191,175,17,4,3,1,2,2,0,0,1,2,2,4,1,1
7624651244,15819,3,2162,206,27,36,9332084,9018543,"True",7075,287,28,6,1,2,2,3,1,5,1,2,2,0,0,2
7609349210,15898,3,2490,26,20,42,8769201,9247798,"True",-2846,423,38,10,1,3,1,2,0,0,3,0,3,1,0,3
7519020933,15819,3,2279,50,44,26,9018543,8864178,"False",5621,299,25,6,1,0,3,4,1,4,2,1,1,2,0,2
8030943961,17299,8,1099,10,2,33,9587118,9126210,"True",12307,205,19,5,1,2,1,4,2,1,2,1,1,2,1,2
7641695178,15901,8,1390,105,41,17,9088071,8831040,"False",-4593,378,33,8,2,1,1,1,0,3,1,4,2,2,1,1
7556882350,15901,8,2691,115,48,45,8829924,9088071,"False",4464,709,69,15,1,1,1,0,0,3,1,4,3,3,2,0
7564044018,15901,8,2271,51,29,45,9225431,9209880,"True",4341,373,40,7,1,2,1,0,1,2,1,4,1,3,2,2
7787777930,16843,18,1214,4,2,28,9409659,9444067,"True",7865,99,8,2,1,3,1,2,2,1,0,1,1,1,2,2
7992370336,17163,3,2286,108,23,31,8849837,8987220,"True",-315,266,25,6,2,1,2,1,0,0,2,1,1,4,1,2
7885056863,16059,3,1912,244,33,22,8629324,9426115,"False",-1230,240,25,5,2,2,1,0,1,0,1,3,0,4,2,2
7533308131,16011,5,2053,160,19,27,8736661,9247646,"",-5351,230,22,5,1,1,0,1,2,3,0,3,1,3,4,2
7923827905,15901,8,2844,195,32,21,9344594,9523479,"True",833,327,24,7,2,2,2,1,1,1,2,2,0,4,1,2
7654222685,16480,8,2666,11,31,39,2576071,36,"True",-4012,522,48,11,2,4,1,3,1,0,1,2,0,0,2,1
7606511647,16248,5,2244,8,44,22,8980714,9156114,"False",-4034,366,29,8,1,2,2,1,1,2,1,3,2,2,1,1
8059267647,17233,3,1982,116,32,43,8629324,9425656,"True",65,451,37,10,0,0,2,0,3,0,2,0,1,3,0,7
8060968557,16251,8,2012,134,15,28,9104159,8784646,"True",6425,175,14,4,2,2,2,2,1,1,1,2,0,3,1,3
7761976803,16635,3,1985,13,37,24,8849850,8849833,"False",-2801,432,41,9,1,0,3,0,2,5,1,1,1,2,1,2
7740793495,15899,2,2518,118,10,44,7913999,8406842,"True",2988,274,24,6,2,2,1,2,1,1,1,2,1,3,2,1
7560994187,15819,3,1992,97,22,41,8864178,8893837,"True",2633,367,34,9,1,3,2,3,2,3,2,1,1,1,1,2
7691982974,15898,3,1596,92,6,26,9303383,9366989,"True",4195,132,11,3,2,1,2,2,2,2,2,2,0,1,1,2
8074264824,17233,3,1426,6,11,28,8629014,8629318,"True",1104,154,12,4,2,0,1,0,2,1,3,0,0,6,0,6
7686956525,16312,3,1692,63,13,18,8893825,9018543,"True",-3311,125,9,3,2,0,2,1,2,0,1,1,1,5,2,3
7702586943,15901,8,1575,127,31,15,9389538,9360721,"False",-6510,300,26,6,0,1,1,1,0,1,0,2,4,2,3,2
7880943992,16953,3,2766,134,52,23,9373270,9403748,"False",-4099,494,41,10,2,1,0,1,2,0,1,2,0,2,2,2
7796261750,16635,3,1936,209,28,18,8936613,8957156,"False",-65,302,28,7,2,0,1,0,2,0,2,0,0,3,0,7
7608345327,16248,5,1863,145,43,10,7653080,9156114,"False",-9334,354,29,7,2,3,1,4,1,2,1,0,2,0,0,3
7747085083,16632,3,2430,8,26,9,8894818,9303484,"False",-3398,126,13,3,1,3,3,3,1,1,0,2,1,1,2,1
8012797254,15901,3,2212,115,33,26,8831040,9504780,"True",-2693,332,28,6,2,0,0,3,1,1,2,0,1,3,2,2
7645831158,15819,3,2195,319,39,27,9018543,8893825,"False",-2923,373,36,9,1,3,2,1,1,2,2,3,2,2,0,1
7835403754,15898,3,2476,40,40,17,9366989,8588969,"False",-1401,270,25,6,1,2,1,1,2,0,1,0,2,1,3,3
8035291307,17233,3,1908,17,48,41,8629315,8629324,"False",-869,596,61,12,2,0,0,1,2,2,3,0,0,5,1,4
7970635478,16313,3,1834,218,37,28,9332069,9332046,"False",-4967,435,40,9,2,3,1,2,1,1,1,2,1,2,2,0
8037032285,17299,13,1938,163,26,16,9593627,9593895,"False",-2431,207,23,5,2,1,4,2,3,3,1,1,0,0,0,2
8004392903,17233,3,1723,385,31,13,8629014,8629324,"False",-1333,227,19,5,2,0,0,0,2,0,2,0,0,4,2,7
7646183849,16390,5,4052,7,30,37,9373877,8360138,"True",2074,472,39,10,1,2,3,1,1,2,2,1,1,0,0,4
7552101659,15819,3,1272,161,15,36,8893840,8893825,"True",3742,341,29,6,1,1,2,4,2,2,3,1,1,1,0,2
7886696129,16059,3,1703,108,24,28,9425660,8629318,"True",1539,223,21,5,0,1,4,0,3,0,1,0,1,6,0,5
7664997298,16312,3,1564,161,30,20,9332059,9332084,"False",-1156,311,27,7,1,2,2,0,2,0,1,5,1,3,1,1
7672718210,16483,3,2989,364,26,25,8599101,9255706,"True",-265,220,19,5,1,2,1,2,3,3,0,0,0,2,1,1
7527311182,16097,2,2547,203,30,22,9303484,7732977,"False",-279,224,21,5,1,2,1,1,2,2,0,2,1,1,3,2
7616321524,16077,2,1337,5,29,6,9323845,9316648,"False",-8978,150,13,3,0,2,2,1,2,1,2,3,2,0,1,2
8033614553,17299,13,1936,53,15,27,350190,9600387,"True",-2788,272,23,6,1,5,2,1,1,0,2,2,2,1,0,1
